2018-10-17 18:35:31 - crawler - INFO - uri: mongodb://gaiaspider:gaiaspider@192.168.88.101:3307
2018-10-17 18:35:31 - crawler - INFO - db: gaiaspider
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35807167450702x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35801139724088x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/34901006095667x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35785786707527x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35789773339569x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35790809076039x.shtml>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35800044615494x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/26609748653262x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35779691517953x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35762401605963x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35781280521552x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/34948105993664x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35786678419252x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35363331938734x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/34552850366155x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35540771335374x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35709789590080x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35453463958972x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/35718916263991x.shtml?adtype=3>
2018-10-17 18:35:32 - crawler - INFO - parse_item response:<200 https://sh.58.com/zufang/34479846822212x.shtml?adtype=3>
